173 -> 1187 # ('tile.bop.longGrass', 'BiomesOPlenty:longGrass', 'namespace') 
# 10269 -> (None, 'item.extrautils:watering_can', 'extrautils:watering_can', 'no match')
# 10270 -> (None, 'item.extrautils:nodeUpgrade', 'extrautils:nodeUpgrade', 'no match')
# 10271 -> (None, 'item.extrautils:golden_bag', 'extrautils:golden_bag', 'no match')
# 11307 -> (None, 'item.immibis/tubestuff:jammer', 'immibis/tubestuff:jammer', 'no match')
# 11318 -> (None, 'item.immibis/lxp:liquid', 'immibis/lxp:liquid', 'no match')
# 11363 -> (None, 'item.itemMultiToolWrench', 'itemMultiToolWrench', 'no match')
# 11364 -> (None, 'item.itemMultiToolSwitch', 'itemMultiToolSwitch', 'no match')
# 11365 -> (None, 'item.itemMultiToolFieldTransporter', 'itemMultiToolFieldTransporter', 'no match')
# 11366 -> (None, 'item.itemMultiToolIDWriter', 'itemMultiToolIDWriter', 'no match')
# 11367 -> (None, 'item.itemMultiToolDebugger', 'itemMultiToolDebugger', 'no match')
# 11368 -> (None, 'item.itemMultiToolManual', 'itemMultiToolManual', 'no match')
# 11369 -> (None, 'item.itemProjectorModuleDiagonalWall', 'itemProjectorModuleDiagonalWall', 'no match')
# 11370 -> (None, 'item.itemCardAccess', 'itemCardAccess', 'no match')
# 11371 -> (None, 'item.itemCardEmpty', 'itemCardEmpty', 'no match')
# 11372 -> (None, 'item.itemCardPowerLink', 'itemCardPowerLink', 'no match')
# 11374 -> (None, 'item.itemExtractorUpgradeBooster', 'itemExtractorUpgradeBooster', 'no match')
# 11375 -> (None, 'item.itemCapacitorUpgradeRange', 'itemCapacitorUpgradeRange', 'no match')
# 11376 -> (None, 'item.itemCapacitorUpgradeCapacity', 'itemCapacitorUpgradeCapacity', 'no match')
# 11377 -> (None, 'item.itemProjectorModuleSphere', 'itemProjectorModuleSphere', 'no match')
# 11378 -> (None, 'item.itemProjectorModuleCube', 'itemProjectorModuleCube', 'no match')
# 11380 -> (None, 'item.itemProjectorModuleWall', 'itemProjectorModuleWall', 'no match')
# 11381 -> (None, 'item.itemProjectorModuleDeflector', 'itemProjectorModuleDeflector', 'no match')
# 11382 -> (None, 'item.itemProjectorModuleTube', 'itemProjectorModuleTube', 'no match')
# 11383 -> (None, 'item.itemProjectorOptionZapper', 'itemProjectorOptionZapper', 'no match')
# 11384 -> (None, 'item.itemProjectorOptionSponge', 'itemProjectorOptionSponge', 'no match')
# 11385 -> (None, 'item.itemProjectorOptionDome', 'itemProjectorOptionDome', 'no match')
# 11386 -> (None, 'item.itemProjectorOptionCutter', 'itemProjectorOptionCutter', 'no match')
# 11387 -> (None, 'item.itemProjectorFFDistance', 'itemProjectorFFDistance', 'no match')
# 11388 -> (None, 'item.itemProjectorFFStrength', 'itemProjectorFFStrength', 'no match')
# 11389 -> (None, 'item.itemProjectorFocusMatrix', 'itemProjectorFocusMatrix', 'no match')
# 11390 -> (None, 'item.itemCardID', 'itemCardID', 'no match')
# 11391 -> (None, 'item.itemCardSecurityLink', 'itemCardSecurityLink', 'no match')
# 11393 -> (None, 'item.itemProjectorOptionDefenseStation', 'itemProjectorOptionDefenseStation', 'no match')
# 11394 -> (None, 'item.itemProjectorOptionMobKiller', 'itemProjectorOptionMobKiller', 'no match')
# 11395 -> (None, 'item.itemProjectorOptionFFJammer', 'itemProjectorOptionFFJammer', 'no match')
# 11396 -> (None, 'item.itemProjectorModuleContainment', 'itemProjectorModuleContainment', 'no match')
# 11397 -> (None, 'item.itemProjectorOptionCamouflage', 'itemProjectorOptionCamouflage', 'no match')
# 11398 -> (None, 'item.itemProjectorModuleAdvCube', 'itemProjectorModuleAdvCube', 'no match')
# 11399 -> (None, 'item.itemProjectorOptionFieldFusion', 'itemProjectorOptionFieldFusion', 'no match')
# 11400 -> (None, 'item.itemForcicium', 'itemForcicium', 'no match')
# 11401 -> (None, 'item.itemForcePowerCrystal', 'itemForcePowerCrystal', 'no match')
# 11402 -> (None, 'item.itemForciciumCell', 'itemForciciumCell', 'no match')
# 11403 -> (None, 'item.itemCardInfinitePower', 'itemCardInfinitePower', 'no match')
# 11404 -> (None, 'item.itemCardDataLink', 'itemCardDataLink', 'no match')
11520 -> 7663 # ('item.spear.wood', 'weaponmod:spear.wood', 'namespace') 
11521 -> 7664 # ('item.spear.stone', 'weaponmod:spear.stone', 'namespace') 
11522 -> 7665 # ('item.spear.iron', 'weaponmod:spear.iron', 'namespace') 
11523 -> 7667 # ('item.spear.diamond', 'weaponmod:spear.diamond', 'namespace') 
11524 -> 7666 # ('item.spear.gold', 'weaponmod:spear.gold', 'namespace') 
11525 -> 7668 # ('item.halberd.wood', 'weaponmod:halberd.wood', 'namespace') 
11526 -> 7669 # ('item.halberd.stone', 'weaponmod:halberd.stone', 'namespace') 
11527 -> 7670 # ('item.halberd.iron', 'weaponmod:halberd.iron', 'namespace') 
11528 -> 7672 # ('item.halberd.diamond', 'weaponmod:halberd.diamond', 'namespace') 
11529 -> 7671 # ('item.halberd.gold', 'weaponmod:halberd.gold', 'namespace') 
11530 -> 7673 # ('item.battleaxe.wood', 'weaponmod:battleaxe.wood', 'namespace') 
11531 -> 7674 # ('item.battleaxe.stone', 'weaponmod:battleaxe.stone', 'namespace') 
11532 -> 7675 # ('item.battleaxe.iron', 'weaponmod:battleaxe.iron', 'namespace') 
11533 -> 7677 # ('item.battleaxe.diamond', 'weaponmod:battleaxe.diamond', 'namespace') 
11534 -> 7676 # ('item.battleaxe.gold', 'weaponmod:battleaxe.gold', 'namespace') 
11535 -> 7683 # ('item.warhammer.wood', 'weaponmod:warhammer.wood', 'anyspace') 
11536 -> 7684 # ('item.warhammer.stone', 'weaponmod:warhammer.stone', 'anyspace') 
11537 -> 7685 # ('item.warhammer.iron', 'weaponmod:warhammer.iron', 'anyspace') 
11538 -> 7687 # ('item.warhammer.diamond', 'weaponmod:warhammer.diamond', 'anyspace') 
11539 -> 7686 # ('item.warhammer.gold', 'weaponmod:warhammer.gold', 'anyspace') 
11540 -> 7678 # ('item.knife.wood', 'weaponmod:knife.wood', 'namespace') 
11541 -> 7679 # ('item.knife.stone', 'weaponmod:knife.stone', 'namespace') 
11542 -> 7680 # ('item.knife.iron', 'weaponmod:knife.iron', 'namespace') 
11543 -> 7682 # ('item.knife.diamond', 'weaponmod:knife.diamond', 'namespace') 
11544 -> 7681 # ('item.knife.gold', 'weaponmod:knife.gold', 'namespace') 
11545 -> 7688 # ('item.flail.wood', 'weaponmod:flail.wood', 'namespace') 
11546 -> 7689 # ('item.flail.stone', 'weaponmod:flail.stone', 'namespace') 
11547 -> 7690 # ('item.flail.iron', 'weaponmod:flail.iron', 'namespace') 
11548 -> 7692 # ('item.flail.diamond', 'weaponmod:flail.diamond', 'namespace') 
11549 -> 7691 # ('item.flail.gold', 'weaponmod:flail.gold', 'namespace') 
# 11550 -> (None, 'item.javelin', 'javelin', 'no match')
11551 -> 7714 # ('item.musket', 'weaponmod:musket', 'anyspace') 
11553 -> 7715 # ('item.musket-ironpart', 'weaponmod:musket-ironpart', 'anyspace') 
# 11554 -> (None, 'item.bullet', 'bullet', 'no match')
# 11555 -> (None, 'item.crossbow', 'crossbow', 'no match')
11556 -> 7706 # ('item.bolt', 'weaponmod:bolt', 'anyspace') 
11557 -> 7707 # ('item.blowgun', 'weaponmod:blowgun', 'anyspace') 
# 11558 -> (None, 'item.dart', 'dart', 'no match')
11559 -> 7720 # ('item.dynamite', 'weaponmod:dynamite', 'anyspace') 
# 11560 -> (None, 'item.firerod', 'firerod', 'no match')
# 11561 -> (None, 'item.cannon', 'cannon', 'no match')
11562 -> 7722 # ('item.cannonball', 'weaponmod:cannonball', 'anyspace') 
11563 -> 7716 # ('item.blunderbuss', 'weaponmod:blunderbuss', 'anyspace') 
11564 -> 7718 # ('item.shot', 'weaponmod:shot', 'anyspace') 
11565 -> 7717 # ('item.blunder-ironpart', 'weaponmod:blunder-ironpart', 'anyspace') 
11566 -> 7723 # ('item.dummy', 'weaponmod:dummy', 'anyspace') 
11567 -> 7724 # ('item.gun-stock', 'weaponmod:gun-stock', 'anyspace') 
11568 -> 7698 # ('item.boomerang.wood', 'weaponmod:boomerang.wood', 'namespace') 
11569 -> 7699 # ('item.boomerang.stone', 'weaponmod:boomerang.stone', 'namespace') 
11570 -> 7700 # ('item.boomerang.iron', 'weaponmod:boomerang.iron', 'namespace') 
11571 -> 7702 # ('item.boomerang.diamond', 'weaponmod:boomerang.diamond', 'namespace') 
11572 -> 7701 # ('item.boomerang.gold', 'weaponmod:boomerang.gold', 'namespace') 
11573 -> 7709 # ('item.musketbayonet.wood', 'weaponmod:musketbayonet.wood', 'namespace') 
11574 -> 7710 # ('item.musketbayonet.stone', 'weaponmod:musketbayonet.stone', 'namespace') 
11575 -> 7711 # ('item.musketbayonet.iron', 'weaponmod:musketbayonet.iron', 'namespace') 
11576 -> 7713 # ('item.musketbayonet.diamond', 'weaponmod:musketbayonet.diamond', 'namespace') 
11577 -> 7712 # ('item.musketbayonet.gold', 'weaponmod:musketbayonet.gold', 'namespace') 
11578 -> 7693 # ('item.katana.wood', 'weaponmod:katana.wood', 'namespace') 
11579 -> 7694 # ('item.katana.stone', 'weaponmod:katana.stone', 'namespace') 
11580 -> 7695 # ('item.katana.iron', 'weaponmod:katana.iron', 'namespace') 
11581 -> 7697 # ('item.katana.diamond', 'weaponmod:katana.diamond', 'namespace') 
11582 -> 7696 # ('item.katana.gold', 'weaponmod:katana.gold', 'namespace') 
12243 -> 4502 # ('item.mfr.hammer', 'MineFactoryReloaded:hammer', 'namespace') 
12248 -> 4539 # ('item.mfr.fertilizer', 'MineFactoryReloaded:fertilizer', 'namespace') 
12249 -> 4507 # ('item.mfr.plastic.sheet', 'MineFactoryReloaded:plastic.sheet', 'namespace') 
12250 -> 4506 # ('item.mfr.plastic.raw', 'MineFactoryReloaded:plastic.raw', 'namespace') 
12251 -> 4505 # ('item.mfr.rubber.bar', 'MineFactoryReloaded:rubber.bar', 'namespace') 
12252 -> 4558 # ('item.mfr.bucket.sewage', 'MineFactoryReloaded:bucket.sewage', 'namespace') 
12253 -> 4559 # ('item.mfr.bucket.sludge', 'MineFactoryReloaded:bucket.sludge', 'namespace') 
12254 -> 4560 # ('item.mfr.bucket.essence', 'MineFactoryReloaded:bucket.essence', 'namespace') 
12255 -> 4521 # ('item.mfr.syringe.empty', 'MineFactoryReloaded:syringe.empty', 'namespace') 
12256 -> 4522 # ('item.mfr.syringe.health', 'MineFactoryReloaded:syringe.health', 'namespace') 
12257 -> 4523 # ('item.mfr.syringe.growth', 'MineFactoryReloaded:syringe.growth', 'namespace') 
12258 -> 4504 # ('item.mfr.rubber.raw', 'MineFactoryReloaded:rubber.raw', 'namespace') 
12259 -> 534 # ('item.mfr.machineblock', 'MineFactoryReloaded:machineblock', 'namespace') 
12260 -> 4528 # ('item.mfr.safarinet.reusable', 'MineFactoryReloaded:safarinet.reusable', 'namespace') 
12261 -> 4540 # ('item.mfr.ceramicdye', 'MineFactoryReloaded:ceramicdye', 'namespace') 
12262 -> 4542 # ('item.mfr.record.blank', 'MineFactoryReloaded:record.blank', 'namespace') 
12263 -> 4524 # ('item.mfr.syringe.zombie', 'MineFactoryReloaded:syringe.zombie', 'namespace') 
12264 -> 4529 # ('item.mfr.safarinet.singleuse', 'MineFactoryReloaded:safarinet.singleuse', 'namespace') 
12266 -> 4561 # ('item.mfr.bucket.biofuel', 'MineFactoryReloaded:bucket.biofuel', 'namespace') 
12267 -> 4512 # ('item.mfr.upgrade.radius', 'MineFactoryReloaded:upgrade.radius', 'namespace') 
12268 -> 4527 # ('item.mfr.safarinet.launcher', 'MineFactoryReloaded:safarinet.launcher', 'namespace') 
12269 -> 4538 # ('item.mfr.sugarcharcoal', 'MineFactoryReloaded:sugarcharcoal', 'namespace') 
12270 -> 4535 # ('item.mfr.milkbottle', 'MineFactoryReloaded:milkbottle', 'namespace') 
12271 -> 4543 # ('item.mfr.spyglass', 'MineFactoryReloaded:spyglass', 'namespace') 
12272 -> 4532 # ('item.mfr.portaspawner', 'MineFactoryReloaded:portaspawner', 'namespace') 
12273 -> 4534 # ('item.mfr.straw', 'MineFactoryReloaded:straw', 'namespace') 
12274 -> 4533 # ('item.mfr.xpextractor', 'MineFactoryReloaded:xpextractor', 'namespace') 
12275 -> 4525 # ('item.mfr.syringe.slime', 'MineFactoryReloaded:syringe.slime', 'namespace') 
12276 -> 4526 # ('item.mfr.syringe.cure', 'MineFactoryReloaded:syringe.cure', 'namespace') 
12277 -> 4515 # ('item.mfr.upgrade.logic', 'MineFactoryReloaded:upgrade.logic', 'namespace') 
12278 -> 4513 # ('item.mfr.rednet.meter', 'MineFactoryReloaded:rednet.meter', 'namespace') 
12279 -> 4514 # ('item.mfr.rednet.memorycard', 'MineFactoryReloaded:rednet.memorycard', 'namespace') 
12280 -> 4544 # ('item.mfr.ruler', 'MineFactoryReloaded:ruler', 'namespace') 
12281 -> 4516 # ('item.mfr.meat.ingot.raw', 'MineFactoryReloaded:meat.ingot.raw', 'namespace') 
12282 -> 4517 # ('item.mfr.meat.ingot.cooked', 'MineFactoryReloaded:meat.ingot.cooked', 'namespace') 
12283 -> 4518 # ('item.mfr.meat.nugget.raw', 'MineFactoryReloaded:meat.nugget.raw', 'namespace') 
12284 -> 4519 # ('item.mfr.meat.nugget.cooked', 'MineFactoryReloaded:meat.nugget.cooked', 'namespace') 
12285 -> 4562 # ('item.mfr.bucket.meat', 'MineFactoryReloaded:bucket.meat', 'namespace') 
12286 -> 4563 # ('item.mfr.bucket.pinkslime', 'MineFactoryReloaded:bucket.pinkslime', 'namespace') 
# 12287 -> (None, 'item.mfr.pinkslimeball', 'MineFactoryReloaded:pinkslimeball', 'no match')
12288 -> 4530 # ('item.mfr.safarinet.jailer', 'MineFactoryReloaded:safarinet.jailer', 'namespace') 
12289 -> 4541 # ('item.mfr.laserfocus', 'MineFactoryReloaded:laserfocus', 'namespace') 
12290 -> 4564 # ('item.mfr.bucket.chocolatemilk', 'MineFactoryReloaded:bucket.chocolatemilk', 'namespace') 
12291 -> 4565 # ('item.mfr.bucket.mushroomsoup', 'MineFactoryReloaded:bucket.mushroomsoup', 'namespace') 
# 12390 -> (None, 'item.liquidMilk', 'liquidMilk', 'no match')
13126 -> 4996 # ('item.extrabiomes.logturner', 'ExtrabiomesXL:extrabiomes.logturner', 'anyspace') 
13127 -> 5001 # ('item.extrabiomes.scarecrow', 'ExtrabiomesXL:extrabiomes.scarecrow', 'anyspace') 
13128 -> 5002 # ('item.extrabiomes.paste', 'ExtrabiomesXL:extrabiomes.paste', 'anyspace') 
# 13256 -> (None, 'item.null______', 'null______', 'no match')
# 13257 -> (None, 'item.null_______', 'null_______', 'no match')
13258 -> 5158 # ('item.ambrosia', 'Forestry:ambrosia', 'anyspace') 
# 13259 -> (None, 'item.apatite', 'apatite', 'no match')
13260 -> 5169 # ('item.apiaristBag', 'Forestry:apiaristBag', 'anyspace') 
13261 -> 5149 # ('item.apiaristBoots', 'Forestry:apiaristBoots', 'anyspace') 
13262 -> 5147 # ('item.apiaristChest', 'Forestry:apiaristChest', 'anyspace') 
13263 -> 5146 # ('item.apiaristHelmet', 'Forestry:apiaristHelmet', 'anyspace') 
13264 -> 5148 # ('item.apiaristLegs', 'Forestry:apiaristLegs', 'anyspace') 
# 13266 -> (None, 'item.ash', 'ash', 'no match')
13267 -> 5145 # ('item.beeCombs', 'Forestry:beeCombs', 'anyspace') 
13268 -> 5129 # ('item.beeDroneGE', 'Forestry:beeDroneGE', 'anyspace') 
13269 -> 5130 # ('item.beePrincessGE', 'Forestry:beePrincessGE', 'anyspace') 
13270 -> 5128 # ('item.beeQueenGE', 'Forestry:beeQueenGE', 'anyspace') 
13271 -> 5132 # ('item.beealyzer', 'Forestry:beealyzer', 'anyspace') 
13272 -> 5084 # ('item.beeswax', 'Forestry:beeswax', 'anyspace') 
# 13273 -> (None, 'item.liquidBiofuel', 'liquidBiofuel', 'no match')
# 13274 -> (None, 'item.liquidBiomass', 'liquidBiomass', 'no match')
# 13275 -> (None, 'item.biofuelCan', 'biofuelCan', 'no match')
# 13276 -> (None, 'item.biomassCan', 'biomassCan', 'no match')
13277 -> 4961 # ('item.biomeFinder', 'BiomesOPlenty:biomeFinder', 'anyspace') 
13278 -> 5063 # ('item.bituminousPeat', 'Forestry:bituminousPeat', 'anyspace') 
13279 -> 5073 # ('item.brokenBronzePickaxe', 'Forestry:brokenBronzePickaxe', 'anyspace') 
13280 -> 5074 # ('item.brokenBronzeShovel', 'Forestry:brokenBronzeShovel', 'anyspace') 
13281 -> 5075 # ('item.bronzePickaxe', 'Forestry:bronzePickaxe', 'anyspace') 
13282 -> 5076 # ('item.bronzeShovel', 'Forestry:bronzeShovel', 'anyspace') 
# 13283 -> (None, 'item.bucketBiofuel', 'bucketBiofuel', 'no match')
13284 -> 5097 # ('item.bucketBiomass', 'Forestry:bucketBiomass', 'anyspace') 
# 13285 -> (None, 'item.null________', 'null________', 'no match')
# 13286 -> (None, 'item.null_________', 'null_________', 'no match')
13287 -> 5087 # ('item.canEmpty', 'Forestry:canEmpty', 'anyspace') 
# 13288 -> (None, 'item.canFuel', 'canFuel', 'no match')
13289 -> 5099 # ('item.canHoney', 'Forestry:canHoney', 'anyspace') 
13290 -> 5103 # ('item.canIce', 'Forestry:canIce', 'anyspace') 
13291 -> 5107 # ('item.canJuice', 'Forestry:canJuice', 'anyspace') 
13292 -> 5126 # ('item.canLava', 'Forestry:canLava', 'anyspace') 
# 13293 -> (None, 'item.canOil', 'canOil', 'no match')
13294 -> 5111 # ('item.canSeedOil', 'Forestry:canSeedOil', 'anyspace') 
13295 -> 5070 # ('item.carton', 'Forestry:carton', 'anyspace') 
13296 -> 5067 # ('item.chipsets', 'Forestry:chipsets', 'anyspace') 
13297 -> 5059 # ('item.craftingMaterial', 'Forestry:craftingMaterial', 'anyspace') 
13298 -> 5168 # ('item.crate', 'Forestry:crate', 'anyspace') 
13299 -> 5184 # ('item.cratedApatite', 'Forestry:cratedApatite', 'anyspace') 
13300 -> 5201 # ('item.cratedApples', 'Forestry:cratedApples', 'anyspace') 
13301 -> 5188 # ('item.cratedAsh', 'Forestry:cratedAsh', 'anyspace') 
13303 -> 5193 # ('item.cratedBogearth', 'Forestry:cratedBogearth', 'anyspace') 
13304 -> 5266 # ('item.cratedBrass', 'Forestry:cratedBrass', 'anyspace') 
13305 -> 5218 # ('item.cratedBrick', 'Forestry:cratedBrick', 'anyspace') 
13306 -> 5191 # ('item.cratedBronze', 'Forestry:cratedBronze', 'anyspace') 
13307 -> 5219 # ('item.cratedCacti', 'Forestry:cratedCacti', 'anyspace') 
13308 -> 5203 # ('item.cratedCharcoal', 'Forestry:cratedCharcoal', 'anyspace') 
13309 -> 5199 # ('item.cratedClay', 'Forestry:cratedClay', 'anyspace') 
13310 -> 5204 # ('item.cratedCoal', 'Forestry:cratedCoal', 'anyspace') 
13311 -> 5214 # ('item.cratedCobblestone', 'Forestry:cratedCobblestone', 'anyspace') 
13313 -> 5195 # ('item.cratedCookies', 'Forestry:cratedCookies', 'anyspace') 
13314 -> 5190 # ('item.cratedCopper', 'Forestry:cratedCopper', 'anyspace') 
13315 -> 5215 # ('item.cratedDirt', 'Forestry:cratedDirt', 'anyspace') 
13317 -> 5185 # ('item.cratedFertilizer', 'Forestry:cratedFertilizer', 'anyspace') 
13319 -> 5200 # ('item.cratedGlowstone', 'Forestry:cratedGlowstone', 'anyspace') 
13320 -> 5228 # ('item.cratedGravel', 'Forestry:cratedGravel', 'anyspace') 
13323 -> 5192 # ('item.cratedHumus', 'Forestry:cratedHumus', 'anyspace') 
13324 -> 5197 # ('item.cratedLapis', 'Forestry:cratedLapis', 'anyspace') 
13325 -> 5186 # ('item.cratedMulch', 'Forestry:cratedMulch', 'anyspace') 
13326 -> 5227 # ('item.cratedMycelium', 'Forestry:cratedMycelium', 'anyspace') 
13327 -> 5226 # ('item.cratedNetherbrick', 'Forestry:cratedNetherbrick', 'anyspace') 
13328 -> 5223 # ('item.cratedNetherrack', 'Forestry:cratedNetherrack', 'anyspace') 
13329 -> 5202 # ('item.cratedNetherwart', 'Forestry:cratedNetherwart', 'anyspace') 
# 13330 -> (None, 'item.cratedNikolite', 'cratedNikolite', 'no match')
13331 -> 5222 # ('item.cratedObsidian', 'Forestry:cratedObsidian', 'anyspace') 
13332 -> 5183 # ('item.cratedPeat', 'Forestry:cratedPeat', 'anyspace') 
13333 -> 5187 # ('item.cratedPhosphor', 'Forestry:cratedPhosphor', 'anyspace') 
13336 -> 5196 # ('item.cratedRedstone', 'Forestry:cratedRedstone', 'anyspace') 
13337 -> 5198 # ('item.cratedReeds', 'Forestry:cratedReeds', 'anyspace') 
13339 -> 5262 # ('item.cratedResin', 'Forestry:cratedResin', 'anyspace') 
13341 -> 5263 # ('item.cratedRubber', 'Forestry:cratedRubber', 'anyspace') 
13342 -> 5220 # ('item.cratedSand', 'Forestry:cratedSand', 'anyspace') 
13343 -> 5225 # ('item.cratedSandstone', 'Forestry:cratedSandstone', 'anyspace') 
13344 -> 5229 # ('item.cratedSaplings', 'Forestry:cratedSaplings', 'anyspace') 
13345 -> 5264 # ('item.cratedScrap', 'Forestry:cratedScrap', 'anyspace') 
13346 -> 5205 # ('item.cratedSeeds', 'Forestry:cratedSeeds', 'anyspace') 
13347 -> 5265 # ('item.cratedSilver', 'Forestry:cratedSilver', 'anyspace') 
13349 -> 5224 # ('item.cratedSoulsand', 'Forestry:cratedSoulsand', 'anyspace') 
13350 -> 5217 # ('item.cratedStone', 'Forestry:cratedStone', 'anyspace') 
13352 -> 5189 # ('item.cratedTin', 'Forestry:cratedTin', 'anyspace') 
# 13353 -> (None, 'item.cratedUUM', 'cratedUUM', 'no match')
13354 -> 5194 # ('item.cratedWheat', 'Forestry:cratedWheat', 'anyspace') 
13355 -> 5208 # ('item.cratedWood', 'Forestry:cratedWood', 'anyspace') 
13356 -> 5080 # ('item.decayingWheat', 'Forestry:decayingWheat', 'anyspace') 
# 13357 -> (None, 'item.null__________', 'null__________', 'no match')
# 13358 -> (None, 'item.null___________', 'null___________', 'no match')
13359 -> 5047 # ('item.fertilizerBio', 'Forestry:fertilizerBio', 'anyspace') 
13360 -> 5048 # ('item.fertilizerCompound', 'Forestry:fertilizerCompound', 'anyspace') 
# 13361 -> (None, 'item.null____________', 'null____________', 'no match')
# 13362 -> (None, 'item.null_____________', 'null_____________', 'no match')
13363 -> 5137 # ('item.frameImpregnated', 'Forestry:frameImpregnated', 'anyspace') 
13364 -> 5138 # ('item.frameProven', 'Forestry:frameProven', 'anyspace') 
13365 -> 5136 # ('item.frameUntreated', 'Forestry:frameUntreated', 'anyspace') 
13366 -> 5064 # ('item.gearBronze', 'Forestry:gearBronze', 'anyspace') 
13367 -> 5065 # ('item.gearCopper', 'Forestry:gearCopper', 'anyspace') 
13368 -> 5066 # ('item.gearTin', 'Forestry:gearTin', 'anyspace') 
13369 -> 5057 # ('item.hardenedMachine', 'Forestry:hardenedMachine', 'anyspace') 
# 13370 -> (None, 'item.honeyDrop_', 'honeyDrop_', 'no match')
13371 -> 5159 # ('item.honeyPot', 'Forestry:honeyPot', 'anyspace') 
13372 -> 5142 # ('item.honeydew', 'Forestry:honeydew', 'anyspace') 
13373 -> 5156 # ('item.honeyedSlice', 'Forestry:honeyedSlice', 'anyspace') 
# 13374 -> (None, 'item.null______________', 'null______________', 'no match')
# 13375 -> (None, 'item.null_______________', 'null_______________', 'no match')
13376 -> 5058 # ('item.impregnatedCasing', 'Forestry:impregnatedCasing', 'anyspace') 
# 13377 -> (None, 'item.imprinter', 'imprinter', 'no match')
# 13378 -> (None, 'item.infuser', 'infuser', 'no match')
13379 -> 5053 # ('item.ingotBronze', 'Forestry:ingotBronze', 'anyspace') 
13380 -> 5051 # ('item.ingotCopper', 'Forestry:ingotCopper', 'anyspace') 
13381 -> 5052 # ('item.ingotTin', 'Forestry:ingotTin', 'anyspace') 
13382 -> 5082 # ('item.iodineCapsule', 'Forestry:iodineCapsule', 'anyspace') 
13383 -> 5078 # ('item.kitPickaxe', 'Forestry:kitPickaxe', 'anyspace') 
13384 -> 5077 # ('item.kitShovel', 'Forestry:kitShovel', 'anyspace') 
13385 -> 5166 # ('item.letters', 'Forestry:letters', 'anyspace') 
# 13386 -> (None, 'item.liquidGlass', 'liquidGlass', 'no match')
# 13387 -> (None, 'item.liquidHoney', 'liquidHoney', 'no match')
# 13388 -> (None, 'item.liquidIce', 'liquidIce', 'no match')
# 13389 -> (None, 'item.liquidMead', 'liquidMead', 'no match')
13390 -> 5153 # ('item.treealyzer', 'Forestry:treealyzer', 'anyspace') 
# 13391 -> (None, 'item.liquidSeedOil', 'liquidSeedOil', 'no match')
# 13392 -> (None, 'item.null________________', 'null________________', 'no match')
# 13393 -> (None, 'item.null_________________', 'null_________________', 'no match')
13394 -> 5079 # ('item.mouldyWheat', 'Forestry:mouldyWheat', 'anyspace') 
13395 -> 5081 # ('item.mulch', 'Forestry:mulch', 'anyspace') 
13396 -> 5071 # ('item.oakStick', 'Forestry:oakStick', 'anyspace') 
# 13397 -> (None, 'item.peat', 'peat', 'no match')
13398 -> 5083 # ('item.phosphor', 'Forestry:phosphor', 'anyspace') 
13399 -> 5055 # ('item.pipette', 'Forestry:pipette', 'anyspace') 
13400 -> 5140 # ('item.pollen', 'Forestry:pollen', 'anyspace') 
# 13401 -> (None, 'item.propolis_', 'propolis_', 'no match')
# 13402 -> (None, 'item.refractoryBiofuel', 'refractoryBiofuel', 'no match')
13403 -> 5096 # ('item.refractoryBiomass', 'Forestry:refractoryBiomass', 'anyspace') 
13404 -> 5089 # ('item.refractoryEmpty', 'Forestry:refractoryEmpty', 'anyspace') 
# 13405 -> (None, 'item.refractoryFuel', 'refractoryFuel', 'no match')
13406 -> 5101 # ('item.refractoryHoney', 'Forestry:refractoryHoney', 'anyspace') 
13407 -> 5105 # ('item.refractoryIce', 'Forestry:refractoryIce', 'anyspace') 
13408 -> 5109 # ('item.refractoryJuice', 'Forestry:refractoryJuice', 'anyspace') 
13409 -> 5127 # ('item.refractoryLava', 'Forestry:refractoryLava', 'anyspace') 
# 13410 -> (None, 'item.refractoryOil', 'refractoryOil', 'no match')
13411 -> 5113 # ('item.refractorySeedOil', 'Forestry:refractorySeedOil', 'anyspace') 
13412 -> 5125 # ('item.refractoryWater', 'Forestry:refractoryWater', 'anyspace') 
13413 -> 5085 # ('item.refractoryWax', 'Forestry:refractoryWax', 'anyspace') 
13414 -> 5143 # ('item.royalJelly', 'Forestry:royalJelly', 'anyspace') 
# 13415 -> (None, 'item.null__________________', 'null__________________', 'no match')
13416 -> 5150 # ('item.scoop', 'Forestry:scoop', 'anyspace') 
# 13417 -> (None, 'item.shortMead', 'shortMead', 'no match')
13418 -> 5068 # ('item.solderingIron', 'Forestry:solderingIron', 'anyspace') 
13419 -> 5165 # ('item.stamps', 'Forestry:stamps', 'anyspace') 
13420 -> 5056 # ('item.sturdyMachine', 'Forestry:sturdyMachine', 'anyspace') 
13421 -> 5069 # ('item.thermionicTubes', 'Forestry:thermionicTubes', 'anyspace') 
# 13422 -> (None, 'item.vialCatalyst', 'vialCatalyst', 'no match')
# 13423 -> (None, 'item.waterCan', 'waterCan', 'no match')
13424 -> 5088 # ('item.waxCapsule', 'Forestry:waxCapsule', 'anyspace') 
# 13425 -> (None, 'item.waxCapsuleBiofuel', 'waxCapsuleBiofuel', 'no match')
13426 -> 5095 # ('item.waxCapsuleBiomass', 'Forestry:waxCapsuleBiomass', 'anyspace') 
# 13427 -> (None, 'item.waxCapsuleFuel', 'waxCapsuleFuel', 'no match')
